sample_id,target,modality,official_seq_index,signed_importance,absolute_importance,mapping_status,token_id,char_start,char_end,raw_text_substring
04,classification,text,18,0.02660766802728176,0.02660766802728176,verified_text,2175,73,75,GO
04,classification,text,21,-0.025744125247001648,0.025744125247001648,verified_text,9119,82,89,goodbye
04,classification,text,11,-0.024978583678603172,0.024978583678603172,verified_text,1045,42,43,I
04,classification,audio,25,0.008120068348944187,0.008120068348944187,index_only,,,,
04,classification,audio,26,0.008120068348944187,0.008120068348944187,index_only,,,,
04,classification,audio,1,0.0076111843809485435,0.0076111843809485435,index_only,,,,
04,classification,audio,15,0.007461459841579199,0.007461459841579199,index_only,,,,
04,classification,audio,16,0.007106225937604904,0.007106225937604904,index_only,,,,
04,classification,vision,15,0.011122848838567734,0.011122848838567734,index_only,,,,
04,classification,vision,14,0.010619373992085457,0.010619373992085457,index_only,,,,
04,classification,vision,13,0.009539926424622536,0.009539926424622536,index_only,,,,
04,classification,vision,10,0.009285932406783104,0.009285932406783104,index_only,,,,
04,classification,vision,7,0.009209154173731804,0.009209154173731804,index_only,,,,
04,regression,text,25,-0.11350269615650177,0.11350269615650177,verified_text,2025,103,106,not
04,regression,text,10,-0.09161034971475601,0.09161034971475601,verified_text,2323,35,41,should
04,regression,text,21,-0.055530548095703125,0.055530548095703125,verified_text,9119,82,89,goodbye
04,regression,text,11,-0.044710904359817505,0.044710904359817505,verified_text,1045,42,43,I
04,regression,text,26,-0.043696992099285126,0.043696992099285126,verified_text,1012,106,107,.
04,regression,audio,15,0.01155952550470829,0.01155952550470829,index_only,,,,
04,regression,audio,25,0.011505383998155594,0.011505383998155594,index_only,,,,
04,regression,audio,26,0.011505383998155594,0.011505383998155594,index_only,,,,
04,regression,audio,24,0.011400150135159492,0.011400150135159492,index_only,,,,
04,regression,audio,14,0.010907581076025963,0.010907581076025963,index_only,,,,
04,regression,vision,15,0.025200702250003815,0.025200702250003815,index_only,,,,
04,regression,vision,14,0.025034498423337936,0.025034498423337936,index_only,,,,
04,regression,vision,13,0.022235460579395294,0.022235460579395294,index_only,,,,
04,regression,vision,12,0.021312175318598747,0.021312175318598747,index_only,,,,
04,regression,vision,11,0.021176960319280624,0.021176960319280624,index_only,,,,
05,classification,text,2,0.04322992265224457,0.04322992265224457,verified_text,1010,2,3,","
05,classification,text,5,0.029677793383598328,0.029677793383598328,verified_text,2003,12,14,is
05,classification,text,12,0.023744069039821625,0.023744069039821625,verified_text,2417,41,44,Red
05,classification,text,8,0.017595883458852768,0.017595883458852768,verified_text,2678,22,27,video
05,classification,text,1,0.015819929540157318,0.015819929540157318,verified_text,7632,0,2,Hi
05,classification,audio,14,-0.0038719731383025646,0.0038719731383025646,index_only,,,,
05,classification,audio,15,-0.0038719731383025646,0.0038719731383025646,index_only,,,,
05,classification,audio,1,-0.002763671800494194,0.002763671800494194,index_only,,,,
05,classification,audio,2,-0.002763671800494194,0.002763671800494194,index_only,,,,
05,classification,audio,12,-0.0019895080476999283,0.0019895080476999283,index_only,,,,
05,classification,vision,1,0.01650449074804783,0.01650449074804783,index_only,,,,
05,classification,vision,2,0.01650449074804783,0.01650449074804783,index_only,,,,
05,classification,vision,4,0.015573471784591675,0.015573471784591675,index_only,,,,
05,classification,vision,3,0.014996171928942204,0.014996171928942204,index_only,,,,
